"","rfs","inc","eth","age","bcg","yse","mean","sd"
"345","Contact","100-300","South Asian","(55,100]","(Missing)","(0,5]",0.441,0.036
"346","Migrant","100-300","South Asian","(55,100]","(Missing)","(0,5]",0.345,0.036
"347","Contact",">300","South Asian","(55,100]","(Missing)","(0,5]",0.382,0.047
"348","Migrant",">300","South Asian","(55,100]","(Missing)","(0,5]",0.292,0.044
"349","Contact","(Missing)","South Asian","(55,100]","(Missing)","(0,5]",0.556,0.046
"350","Migrant","(Missing)","South Asian","(55,100]","(Missing)","(0,5]",0.456,0.053
"351","Contact","<40","Other","(55,100]","(Missing)","(0,5]",0.266,0.035
"352","Migrant","<40","Other","(55,100]","(Missing)","(0,5]",0.195,0.035
"353","Contact","41-100","Other","(55,100]","(Missing)","(0,5]",0.358,0.043
"354","Migrant","41-100","Other","(55,100]","(Missing)","(0,5]",0.272,0.041
"355","Contact","100-300","Other","(55,100]","(Missing)","(0,5]",0.49,0.04
"356","Migrant","100-300","Other","(55,100]","(Missing)","(0,5]",0.391,0.046
"357","Contact",">300","Other","(55,100]","(Missing)","(0,5]",0.429,0.049
"358","Migrant",">300","Other","(55,100]","(Missing)","(0,5]",0.335,0.05
"359","Contact","(Missing)","Other","(55,100]","(Missing)","(0,5]",0.604,0.046
"360","Migrant","(Missing)","Other","(55,100]","(Missing)","(0,5]",0.505,0.057
"361","Contact","<40","White","(15,35]","No","(5,10]",0.279,0.033
"362","Migrant","<40","White","(15,35]","No","(5,10]",0.206,0.039
"363","Contact","41-100","White","(15,35]","No","(5,10]",0.373,0.036
"364","Migrant","41-100","White","(15,35]","No","(5,10]",0.285,0.043
"365","Contact","100-300","White","(15,35]","No","(5,10]",0.507,0.027
"366","Migrant","100-300","White","(15,35]","No","(5,10]",0.407,0.046
"367","Contact",">300","White","(15,35]","No","(5,10]",0.445,0.044
"368","Migrant",">300","White","(15,35]","No","(5,10]",0.35,0.053
"369","Contact","(Missing)","White","(15,35]","No","(5,10]",0.62,0.042
"370","Migrant","(Missing)","White","(15,35]","No","(5,10]",0.521,0.062
"371","Contact","<40","Black African or Caribbean","(15,35]","No","(5,10]",0.337,0.042
"372","Migrant","<40","Black African or Caribbean","(15,35]","No","(5,10]",0.255,0.046
"373","Contact","41-100","Black African or Caribbean","(15,35]","No","(5,10]",0.44,0.046
"374","Migrant","41-100","Black African or Caribbean","(15,35]","No","(5,10]",0.345,0.051
"375","Contact","100-300","Black African or Caribbean","(15,35]","No","(5,10]",0.575,0.035
"376","Migrant","100-300","Black African or Caribbean","(15,35]","No","(5,10]",0.475,0.049
"377","Contact",">300","Black African or Caribbean","(15,35]","No","(5,10]",0.514,0.046
"378","Migrant",">300","Black African or Caribbean","(15,35]","No","(5,10]",0.414,0.055
"379","Contact","(Missing)","Black African or Caribbean","(15,35]","No","(5,10]",0.682,0.046
"380","Migrant","(Missing)","Black African or Caribbean","(15,35]","No","(5,10]",0.588,0.063
"381","Contact","<40","South Asian","(15,35]","No","(5,10]",0.255,0.033
"382","Migrant","<40","South Asian","(15,35]","No","(5,10]",0.187,0.033
"383","Contact","41-100","South Asian","(15,35]","No","(5,10]",0.346,0.04
"384","Migrant","41-100","South Asian","(15,35]","No","(5,10]",0.261,0.04
"385","Contact","100-300","South Asian","(15,35]","No","(5,10]",0.477,0.027
"386","Migrant","100-300","South Asian","(15,35]","No","(5,10]",0.378,0.037
"387","Contact",">300","South Asian","(15,35]","No","(5,10]",0.416,0.045
"388","Migrant",">300","South Asian","(15,35]","No","(5,10]",0.323,0.047
"389","Contact","(Missing)","South Asian","(15,35]","No","(5,10]",0.591,0.047
"390","Migrant","(Missing)","South Asian","(15,35]","No","(5,10]",0.491,0.059
"391","Contact","<40","Other","(15,35]","No","(5,10]",0.294,0.037
"392","Migrant","<40","Other","(15,35]","No","(5,10]",0.219,0.041
"393","Contact","41-100","Other","(15,35]","No","(5,10]",0.391,0.042
"394","Migrant","41-100","Other","(15,35]","No","(5,10]",0.301,0.046
"395","Contact","100-300","Other","(15,35]","No","(5,10]",0.526,0.034
"396","Migrant","100-300","Other","(15,35]","No","(5,10]",0.426,0.048
"397","Contact",">300","Other","(15,35]","No","(5,10]",0.464,0.047
"398","Migrant",">300","Other","(15,35]","No","(5,10]",0.367,0.054
"399","Contact","(Missing)","Other","(15,35]","No","(5,10]",0.637,0.047
"400","Migrant","(Missing)","Other","(15,35]","No","(5,10]",0.54,0.064
"401","Contact","<40","White","(35,55]","No","(5,10]",0.353,0.04
"402","Migrant","<40","White","(35,55]","No","(5,10]",0.268,0.047
"403","Contact","41-100","White","(35,55]","No","(5,10]",0.456,0.041
"404","Migrant","41-100","White","(35,55]","No","(5,10]",0.36,0.05
"405","Contact","100-300","White","(35,55]","No","(5,10]",0.592,0.031
"406","Migrant","100-300","White","(35,55]","No","(5,10]",0.492,0.048
"407","Contact",">300","White","(35,55]","No","(5,10]",0.53,0.047
"408","Migrant",">300","White","(35,55]","No","(5,10]",0.431,0.058
"409","Contact","(Missing)","White","(35,55]","No","(5,10]",0.697,0.041
"410","Migrant","(Missing)","White","(35,55]","No","(5,10]",0.605,0.06
"411","Contact","<40","Black African or Caribbean","(35,55]","No","(5,10]",0.418,0.05
"412","Migrant","<40","Black African or Caribbean","(35,55]","No","(5,10]",0.325,0.055
"413","Contact","41-100","Black African or Caribbean","(35,55]","No","(5,10]",0.525,0.052
"414","Migrant","41-100","Black African or Caribbean","(35,55]","No","(5,10]",0.425,0.057
"415","Contact","100-300","Black African or Caribbean","(35,55]","No","(5,10]",0.656,0.038
"416","Migrant","100-300","Black African or Caribbean","(35,55]","No","(5,10]",0.56,0.051
"417","Contact",">300","Black African or Caribbean","(35,55]","No","(5,10]",0.598,0.049
"418","Migrant",">300","Black African or Caribbean","(35,55]","No","(5,10]",0.499,0.06
"419","Contact","(Missing)","Black African or Caribbean","(35,55]","No","(5,10]",0.751,0.043
"420","Migrant","(Missing)","Black African or Caribbean","(35,55]","No","(5,10]",0.667,0.06
"421","Contact","<40","South Asian","(35,55]","No","(5,10]",0.326,0.043
"422","Migrant","<40","South Asian","(35,55]","No","(5,10]",0.245,0.042
"423","Contact","41-100","South Asian","(35,55]","No","(5,10]",0.427,0.049
"424","Migrant","41-100","South Asian","(35,55]","No","(5,10]",0.333,0.048
"425","Contact","100-300","South Asian","(35,55]","No","(5,10]",0.562,0.035
"426","Migrant","100-300","South Asian","(35,55]","No","(5,10]",0.462,0.043
"427","Contact",">300","South Asian","(35,55]","No","(5,10]",0.5,0.051
"428","Migrant",">300","South Asian","(35,55]","No","(5,10]",0.401,0.055
"429","Contact","(Missing)","South Asian","(35,55]","No","(5,10]",0.67,0.047
"430","Migrant","(Missing)","South Asian","(35,55]","No","(5,10]",0.576,0.06
"431","Contact","<40","Other","(35,55]","No","(5,10]",0.37,0.045
"432","Migrant","<40","Other","(35,55]","No","(5,10]",0.283,0.049
"433","Contact","41-100","Other","(35,55]","No","(5,10]",0.475,0.048
"434","Migrant","41-100","Other","(35,55]","No","(5,10]",0.378,0.053
"435","Contact","100-300","Other","(35,55]","No","(5,10]",0.61,0.038
"436","Migrant","100-300","Other","(35,55]","No","(5,10]",0.511,0.051
"437","Contact",">300","Other","(35,55]","No","(5,10]",0.549,0.051
"438","Migrant",">300","Other","(35,55]","No","(5,10]",0.449,0.06
"439","Contact","(Missing)","Other","(35,55]","No","(5,10]",0.712,0.045
"440","Migrant","(Missing)","Other","(35,55]","No","(5,10]",0.622,0.062
"441","Contact","<40","White","(55,100]","No","(5,10]",0.342,0.04
"442","Migrant","<40","White","(55,100]","No","(5,10]",0.259,0.045
"443","Contact","41-100","White","(55,100]","No","(5,10]",0.444,0.043
"444","Migrant","41-100","White","(55,100]","No","(5,10]",0.349,0.049
"445","Contact","100-300","White","(55,100]","No","(5,10]",0.58,0.033
"446","Migrant","100-300","White","(55,100]","No","(5,10]",0.48,0.049
"447","Contact",">300","White","(55,100]","No","(5,10]",0.518,0.049
"448","Migrant",">300","White","(55,100]","No","(5,10]",0.419,0.058
"449","Contact","(Missing)","White","(55,100]","No","(5,10]",0.686,0.042
"450","Migrant","(Missing)","White","(55,100]","No","(5,10]",0.593,0.06
"451","Contact","<40","Black African or Caribbean","(55,100]","No","(5,10]",0.406,0.05
"452","Migrant","<40","Black African or Caribbean","(55,100]","No","(5,10]",0.315,0.053
"453","Contact","41-100","Black African or Caribbean","(55,100]","No","(5,10]",0.513,0.054
"454","Migrant","41-100","Black African or Caribbean","(55,100]","No","(5,10]",0.414,0.058
"455","Contact","100-300","Black African or Caribbean","(55,100]","No","(5,10]",0.645,0.04
"456","Migrant","100-300","Black African or Caribbean","(55,100]","No","(5,10]",0.548,0.052
"457","Contact",">300","Black African or Caribbean","(55,100]","No","(5,10]",0.586,0.051
"458","Migrant",">300","Black African or Caribbean","(55,100]","No","(5,10]",0.486,0.06
"459","Contact","(Missing)","Black African or Caribbean","(55,100]","No","(5,10]",0.741,0.045
"460","Migrant","(Missing)","Black African or Caribbean","(55,100]","No","(5,10]",0.657,0.061
"461","Contact","<40","South Asian","(55,100]","No","(5,10]",0.315,0.042
"462","Migrant","<40","South Asian","(55,100]","No","(5,10]",0.236,0.04
"463","Contact","41-100","South Asian","(55,100]","No","(5,10]",0.415,0.05
"464","Migrant","41-100","South Asian","(55,100]","No","(5,10]",0.322,0.047
"465","Contact","100-300","South Asian","(55,100]","No","(5,10]",0.55,0.037
"466","Migrant","100-300","South Asian","(55,100]","No","(5,10]",0.45,0.042
"467","Contact",">300","South Asian","(55,100]","No","(5,10]",0.488,0.052
"468","Migrant",">300","South Asian","(55,100]","No","(5,10]",0.39,0.054
"469","Contact","(Missing)","South Asian","(55,100]","No","(5,10]",0.659,0.048
"470","Migrant","(Missing)","South Asian","(55,100]","No","(5,10]",0.564,0.06
"471","Contact","<40","Other","(55,100]","No","(5,10]",0.359,0.044
"472","Migrant","<40","Other","(55,100]","No","(5,10]",0.273,0.047
"473","Contact","41-100","Other","(55,100]","No","(5,10]",0.463,0.048
"474","Migrant","41-100","Other","(55,100]","No","(5,10]",0.366,0.052
"475","Contact","100-300","Other","(55,100]","No","(5,10]",0.598,0.039
"476","Migrant","100-300","Other","(55,100]","No","(5,10]",0.499,0.05
"477","Contact",">300","Other","(55,100]","No","(5,10]",0.537,0.051
"478","Migrant",">300","Other","(55,100]","No","(5,10]",0.437,0.059
"479","Contact","(Missing)","Other","(55,100]","No","(5,10]",0.702,0.046
"480","Migrant","(Missing)","Other","(55,100]","No","(5,10]",0.611,0.062
"481","Contact","<40","White","(15,35]","Yes","(5,10]",0.208,0.028
"482","Migrant","<40","White","(15,35]","Yes","(5,10]",0.15,0.034
"483","Contact","41-100","White","(15,35]","Yes","(5,10]",0.288,0.031
"484","Migrant","41-100","White","(15,35]","Yes","(5,10]",0.214,0.039
"485","Contact","100-300","White","(15,35]","Yes","(5,10]",0.411,0.026
"486","Migrant","100-300","White","(15,35]","Yes","(5,10]",0.319,0.046
"487","Contact",">300","White","(15,35]","Yes","(5,10]",0.353,0.04
"488","Migrant",">300","White","(15,35]","Yes","(5,10]",0.268,0.05
"489","Contact","(Missing)","White","(15,35]","Yes","(5,10]",0.526,0.041
"490","Migrant","(Missing)","White","(15,35]","Yes","(5,10]",0.426,0.062
"491","Contact","<40","Black African or Caribbean","(15,35]","Yes","(5,10]",0.257,0.036
"492","Migrant","<40","Black African or Caribbean","(15,35]","Yes","(5,10]",0.189,0.04
"493","Contact","41-100","Black African or Caribbean","(15,35]","Yes","(5,10]",0.348,0.041
"494","Migrant","41-100","Black African or Caribbean","(15,35]","Yes","(5,10]",0.264,0.046
"495","Contact","100-300","Black African or Caribbean","(15,35]","Yes","(5,10]",0.479,0.034
"496","Migrant","100-300","Black African or Caribbean","(15,35]","Yes","(5,10]",0.381,0.049
"497","Contact",">300","Black African or Caribbean","(15,35]","Yes","(5,10]",0.418,0.044
"498","Migrant",">300","Black African or Caribbean","(15,35]","Yes","(5,10]",0.325,0.052
"499","Contact","(Missing)","Black African or Caribbean","(15,35]","Yes","(5,10]",0.593,0.047
"500","Migrant","(Missing)","Black African or Caribbean","(15,35]","Yes","(5,10]",0.493,0.065
"501","Contact","<40","South Asian","(15,35]","Yes","(5,10]",0.188,0.026
"502","Migrant","<40","South Asian","(15,35]","Yes","(5,10]",0.135,0.028
"503","Contact","41-100","South Asian","(15,35]","Yes","(5,10]",0.264,0.033
"504","Migrant","41-100","South Asian","(15,35]","Yes","(5,10]",0.194,0.033
"505","Contact","100-300","South Asian","(15,35]","Yes","(5,10]",0.382,0.023
"506","Migrant","100-300","South Asian","(15,35]","Yes","(5,10]",0.292,0.035
"507","Contact",">300","South Asian","(15,35]","Yes","(5,10]",0.326,0.039
"508","Migrant",">300","South Asian","(15,35]","Yes","(5,10]",0.245,0.042
"509","Contact","(Missing)","South Asian","(15,35]","Yes","(5,10]",0.495,0.044
"510","Migrant","(Missing)","South Asian","(15,35]","Yes","(5,10]",0.397,0.056
"511","Contact","<40","Other","(15,35]","Yes","(5,10]",0.221,0.031
"512","Migrant","<40","Other","(15,35]","Yes","(5,10]",0.16,0.035
"513","Contact","41-100","Other","(15,35]","Yes","(5,10]",0.304,0.036
"514","Migrant","41-100","Other","(15,35]","Yes","(5,10]",0.227,0.04
"515","Contact","100-300","Other","(15,35]","Yes","(5,10]",0.429,0.032
"516","Migrant","100-300","Other","(15,35]","Yes","(5,10]",0.335,0.046
"517","Contact",">300","Other","(15,35]","Yes","(5,10]",0.37,0.043
"518","Migrant",">300","Other","(15,35]","Yes","(5,10]",0.283,0.05
"519","Contact","(Missing)","Other","(15,35]","Yes","(5,10]",0.544,0.047
"520","Migrant","(Missing)","Other","(15,35]","Yes","(5,10]",0.444,0.063
"521","Contact","<40","White","(35,55]","Yes","(5,10]",0.27,0.035
"522","Migrant","<40","White","(35,55]","Yes","(5,10]",0.2,0.042
"523","Contact","41-100","White","(35,55]","Yes","(5,10]",0.363,0.037
"524","Migrant","41-100","White","(35,55]","Yes","(5,10]",0.277,0.045
"525","Contact","100-300","White","(35,55]","Yes","(5,10]",0.496,0.03
"526","Migrant","100-300","White","(35,55]","Yes","(5,10]",0.397,0.049
"527","Contact",">300","White","(35,55]","Yes","(5,10]",0.434,0.045
"528","Migrant",">300","White","(35,55]","Yes","(5,10]",0.34,0.056
"529","Contact","(Missing)","White","(35,55]","Yes","(5,10]",0.609,0.042
"530","Migrant","(Missing)","White","(35,55]","Yes","(5,10]",0.51,0.062
"531","Contact","<40","Black African or Caribbean","(35,55]","Yes","(5,10]",0.328,0.044
"532","Migrant","<40","Black African or Caribbean","(35,55]","Yes","(5,10]",0.247,0.049
"533","Contact","41-100","Black African or Caribbean","(35,55]","Yes","(5,10]",0.429,0.048
"534","Migrant","41-100","Black African or Caribbean","(35,55]","Yes","(5,10]",0.335,0.053
"535","Contact","100-300","Black African or Caribbean","(35,55]","Yes","(5,10]",0.564,0.038
"536","Migrant","100-300","Black African or Caribbean","(35,55]","Yes","(5,10]",0.464,0.053
"537","Contact",">300","Black African or Caribbean","(35,55]","Yes","(5,10]",0.502,0.049
"538","Migrant",">300","Black African or Caribbean","(35,55]","Yes","(5,10]",0.404,0.059
"539","Contact","(Missing)","Black African or Caribbean","(35,55]","Yes","(5,10]",0.672,0.047
"540","Migrant","(Missing)","Black African or Caribbean","(35,55]","Yes","(5,10]",0.578,0.065
"541","Contact","<40","South Asian","(35,55]","Yes","(5,10]",0.247,0.035
"542","Migrant","<40","South Asian","(35,55]","Yes","(5,10]",0.181,0.035
"543","Contact","41-100","South Asian","(35,55]","Yes","(5,10]",0.336,0.042
"544","Migrant","41-100","South Asian","(35,55]","Yes","(5,10]",0.253,0.042
"545","Contact","100-300","South Asian","(35,55]","Yes","(5,10]",0.466,0.031
"546","Migrant","100-300","South Asian","(35,55]","Yes","(5,10]",0.368,0.041
"547","Contact",">300","South Asian","(35,55]","Yes","(5,10]",0.405,0.047
"548","Migrant",">300","South Asian","(35,55]","Yes","(5,10]",0.313,0.05
"549","Contact","(Missing)","South Asian","(35,55]","Yes","(5,10]",0.58,0.047
"550","Migrant","(Missing)","South Asian","(35,55]","Yes","(5,10]",0.48,0.06
"551","Contact","<40","Other","(35,55]","Yes","(5,10]",0.285,0.039
"552","Migrant","<40","Other","(35,55]","Yes","(5,10]",0.212,0.043
"553","Contact","41-100","Other","(35,55]","Yes","(5,10]",0.381,0.043
"554","Migrant","41-100","Other","(35,55]","Yes","(5,10]",0.292,0.048
"555","Contact","100-300","Other","(35,55]","Yes","(5,10]",0.515,0.037
"556","Migrant","100-300","Other","(35,55]","Yes","(5,10]",0.415,0.051
"557","Contact",">300","Other","(35,55]","Yes","(5,10]",0.453,0.049
"558","Migrant",">300","Other","(35,55]","Yes","(5,10]",0.357,0.057
"559","Contact","(Missing)","Other","(35,55]","Yes","(5,10]",0.627,0.047
"560","Migrant","(Missing)","Other","(35,55]","Yes","(5,10]",0.529,0.065
"561","Contact","<40","White","(55,100]","Yes","(5,10]",0.26,0.034
"562","Migrant","<40","White","(55,100]","Yes","(5,10]",0.192,0.04
"563","Contact","41-100","White","(55,100]","Yes","(5,10]",0.352,0.038
"564","Migrant","41-100","White","(55,100]","Yes","(5,10]",0.267,0.044
"565","Contact","100-300","White","(55,100]","Yes","(5,10]",0.484,0.032
"566","Migrant","100-300","White","(55,100]","Yes","(5,10]",0.385,0.049
"567","Contact",">300","White","(55,100]","Yes","(5,10]",0.422,0.046
"568","Migrant",">300","White","(55,100]","Yes","(5,10]",0.329,0.055
"569","Contact","(Missing)","White","(55,100]","Yes","(5,10]",0.598,0.042
"570","Migrant","(Missing)","White","(55,100]","Yes","(5,10]",0.498,0.062
"571","Contact","<40","Black African or Caribbean","(55,100]","Yes","(5,10]",0.317,0.044
"572","Migrant","<40","Black African or Caribbean","(55,100]","Yes","(5,10]",0.238,0.047
"573","Contact","41-100","Black African or Caribbean","(55,100]","Yes","(5,10]",0.417,0.05
"574","Migrant","41-100","Black African or Caribbean","(55,100]","Yes","(5,10]",0.324,0.053
"575","Contact","100-300","Black African or Caribbean","(55,100]","Yes","(5,10]",0.552,0.04
"576","Migrant","100-300","Black African or Caribbean","(55,100]","Yes","(5,10]",0.452,0.053
"577","Contact",">300","Black African or Caribbean","(55,100]","Yes","(5,10]",0.49,0.05
"578","Migrant",">300","Black African or Caribbean","(55,100]","Yes","(5,10]",0.392,0.058
"579","Contact","(Missing)","Black African or Caribbean","(55,100]","Yes","(5,10]",0.661,0.048
"580","Migrant","(Missing)","Black African or Caribbean","(55,100]","Yes","(5,10]",0.566,0.065
"581","Contact","<40","South Asian","(55,100]","Yes","(5,10]",0.238,0.034
"582","Migrant","<40","South Asian","(55,100]","Yes","(5,10]",0.173,0.033
"583","Contact","41-100","South Asian","(55,100]","Yes","(5,10]",0.325,0.042
"584","Migrant","41-100","South Asian","(55,100]","Yes","(5,10]",0.244,0.04
"585","Contact","100-300","South Asian","(55,100]","Yes","(5,10]",0.453,0.032
"586","Migrant","100-300","South Asian","(55,100]","Yes","(5,10]",0.357,0.04
"587","Contact",">300","South Asian","(55,100]","Yes","(5,10]",0.393,0.047
"588","Migrant",">300","South Asian","(55,100]","Yes","(5,10]",0.303,0.049
"589","Contact","(Missing)","South Asian","(55,100]","Yes","(5,10]",0.568,0.047
"590","Migrant","(Missing)","South Asian","(55,100]","Yes","(5,10]",0.468,0.059
"591","Contact","<40","Other","(55,100]","Yes","(5,10]",0.276,0.037
"592","Migrant","<40","Other","(55,100]","Yes","(5,10]",0.204,0.041
"593","Contact","41-100","Other","(55,100]","Yes","(5,10]",0.37,0.042
"594","Migrant","41-100","Other","(55,100]","Yes","(5,10]",0.282,0.046
"595","Contact","100-300","Other","(55,100]","Yes","(5,10]",0.503,0.037
"596","Migrant","100-300","Other","(55,100]","Yes","(5,10]",0.403,0.049
"597","Contact",">300","Other","(55,100]","Yes","(5,10]",0.441,0.048
"598","Migrant",">300","Other","(55,100]","Yes","(5,10]",0.346,0.055
"599","Contact","(Missing)","Other","(55,100]","Yes","(5,10]",0.616,0.047
"600","Migrant","(Missing)","Other","(55,100]","Yes","(5,10]",0.517,0.063
"601","Contact","<40","White","(15,35]","(Missing)","(5,10]",0.238,0.031
"602","Migrant","<40","White","(15,35]","(Missing)","(5,10]",0.174,0.037
"603","Contact","41-100","White","(15,35]","(Missing)","(5,10]",0.326,0.036
"604","Migrant","41-100","White","(15,35]","(Missing)","(5,10]",0.245,0.043
"605","Contact","100-300","White","(15,35]","(Missing)","(5,10]",0.454,0.03
"606","Migrant","100-300","White","(15,35]","(Missing)","(5,10]",0.358,0.048
"607","Contact",">300","White","(15,35]","(Missing)","(5,10]",0.394,0.043
"608","Migrant",">300","White","(15,35]","(Missing)","(5,10]",0.304,0.052
"609","Contact","(Missing)","White","(15,35]","(Missing)","(5,10]",0.569,0.042
"610","Migrant","(Missing)","White","(15,35]","(Missing)","(5,10]",0.469,0.062
"611","Contact","<40","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.292,0.04
"612","Migrant","<40","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.217,0.044
"613","Contact","41-100","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.389,0.047
"614","Migrant","41-100","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.299,0.051
"615","Contact","100-300","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.523,0.038
"616","Migrant","100-300","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.423,0.051
"617","Contact",">300","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.461,0.047
"618","Migrant",">300","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.364,0.055
"619","Contact","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.635,0.048
"620","Migrant","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(5,10]",0.537,0.065
"621","Contact","<40","South Asian","(15,35]","(Missing)","(5,10]",0.217,0.03
"622","Migrant","<40","South Asian","(15,35]","(Missing)","(5,10]",0.157,0.031
"623","Contact","41-100","South Asian","(15,35]","(Missing)","(5,10]",0.3,0.039
"624","Migrant","41-100","South Asian","(15,35]","(Missing)","(5,10]",0.223,0.038
"625","Contact","100-300","South Asian","(15,35]","(Missing)","(5,10]",0.424,0.029
"626","Migrant","100-300","South Asian","(15,35]","(Missing)","(5,10]",0.33,0.039
"627","Contact",">300","South Asian","(15,35]","(Missing)","(5,10]",0.366,0.044
"628","Migrant",">300","South Asian","(15,35]","(Missing)","(5,10]",0.279,0.045
"629","Contact","(Missing)","South Asian","(15,35]","(Missing)","(5,10]",0.539,0.046
"630","Migrant","(Missing)","South Asian","(15,35]","(Missing)","(5,10]",0.439,0.058
"631","Contact","<40","Other","(15,35]","(Missing)","(5,10]",0.253,0.035
"632","Migrant","<40","Other","(15,35]","(Missing)","(5,10]",0.185,0.039
"633","Contact","41-100","Other","(15,35]","(Missing)","(5,10]",0.343,0.042
"634","Migrant","41-100","Other","(15,35]","(Missing)","(5,10]",0.259,0.045
"635","Contact","100-300","Other","(15,35]","(Missing)","(5,10]",0.473,0.037
"636","Migrant","100-300","Other","(15,35]","(Missing)","(5,10]",0.376,0.05
"637","Contact",">300","Other","(15,35]","(Missing)","(5,10]",0.412,0.047
"638","Migrant",">300","Other","(15,35]","(Missing)","(5,10]",0.32,0.053
"639","Contact","(Missing)","Other","(15,35]","(Missing)","(5,10]",0.587,0.048
"640","Migrant","(Missing)","Other","(15,35]","(Missing)","(5,10]",0.488,0.064
"641","Contact","<40","White","(35,55]","(Missing)","(5,10]",0.306,0.038
"642","Migrant","<40","White","(35,55]","(Missing)","(5,10]",0.229,0.045
"643","Contact","41-100","White","(35,55]","(Missing)","(5,10]",0.405,0.042
"644","Migrant","41-100","White","(35,55]","(Missing)","(5,10]",0.313,0.05
"645","Contact","100-300","White","(35,55]","(Missing)","(5,10]",0.54,0.034
"646","Migrant","100-300","White","(35,55]","(Missing)","(5,10]",0.44,0.051
"647","Contact",">300","White","(35,55]","(Missing)","(5,10]",0.478,0.047
"648","Migrant",">300","White","(35,55]","(Missing)","(5,10]",0.38,0.058
"649","Contact","(Missing)","White","(35,55]","(Missing)","(5,10]",0.65,0.042
"650","Migrant","(Missing)","White","(35,55]","(Missing)","(5,10]",0.554,0.062
"651","Contact","<40","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.368,0.049
"652","Migrant","<40","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.281,0.053
"653","Contact","41-100","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.473,0.053
"654","Migrant","41-100","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.375,0.058
"655","Contact","100-300","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.607,0.041
"656","Migrant","100-300","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.508,0.054
"657","Contact",">300","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.546,0.051
"658","Migrant",">300","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.446,0.06
"659","Contact","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.709,0.046
"660","Migrant","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(5,10]",0.62,0.063
"661","Contact","<40","South Asian","(35,55]","(Missing)","(5,10]",0.281,0.04
"662","Migrant","<40","South Asian","(35,55]","(Missing)","(5,10]",0.208,0.039
"663","Contact","41-100","South Asian","(35,55]","(Missing)","(5,10]",0.376,0.048
"664","Migrant","41-100","South Asian","(35,55]","(Missing)","(5,10]",0.288,0.047
"665","Contact","100-300","South Asian","(35,55]","(Missing)","(5,10]",0.51,0.037
"666","Migrant","100-300","South Asian","(35,55]","(Missing)","(5,10]",0.41,0.045
"667","Contact",">300","South Asian","(35,55]","(Missing)","(5,10]",0.448,0.051
"668","Migrant",">300","South Asian","(35,55]","(Missing)","(5,10]",0.352,0.053
"669","Contact","(Missing)","South Asian","(35,55]","(Missing)","(5,10]",0.622,0.048
"670","Migrant","(Missing)","South Asian","(35,55]","(Missing)","(5,10]",0.524,0.061
"671","Contact","<40","Other","(35,55]","(Missing)","(5,10]",0.323,0.044
"672","Migrant","<40","Other","(35,55]","(Missing)","(5,10]",0.243,0.047
"673","Contact","41-100","Other","(35,55]","(Missing)","(5,10]",0.423,0.049
"674","Migrant","41-100","Other","(35,55]","(Missing)","(5,10]",0.33,0.053
"675","Contact","100-300","Other","(35,55]","(Missing)","(5,10]",0.559,0.041
"676","Migrant","100-300","Other","(35,55]","(Missing)","(5,10]",0.458,0.053
"677","Contact",">300","Other","(35,55]","(Missing)","(5,10]",0.497,0.052
"678","Migrant",">300","Other","(35,55]","(Missing)","(5,10]",0.398,0.06
"679","Contact","(Missing)","Other","(35,55]","(Missing)","(5,10]",0.667,0.047
"680","Migrant","(Missing)","Other","(35,55]","(Missing)","(5,10]",0.572,0.064
"681","Contact","<40","White","(55,100]","(Missing)","(5,10]",0.296,0.038
"682","Migrant","<40","White","(55,100]","(Missing)","(5,10]",0.221,0.043
"683","Contact","41-100","White","(55,100]","(Missing)","(5,10]",0.393,0.043
"684","Migrant","41-100","White","(55,100]","(Missing)","(5,10]",0.303,0.049
"685","Contact","100-300","White","(55,100]","(Missing)","(5,10]",0.528,0.036
"686","Migrant","100-300","White","(55,100]","(Missing)","(5,10]",0.428,0.051
"687","Contact",">300","White","(55,100]","(Missing)","(5,10]",0.466,0.049
"688","Migrant",">300","White","(55,100]","(Missing)","(5,10]",0.369,0.057
"689","Contact","(Missing)","White","(55,100]","(Missing)","(5,10]",0.639,0.043
"690","Migrant","(Missing)","White","(55,100]","(Missing)","(5,10]",0.542,0.061
